start	stop	strand	name	score	mean coverage	recovery
41	532	+	amplicon_0	0	5271	95.93
332	825	+	amplicon_14	1	6944	100.0
657	1089	+	amplicon_1	0	17598	100.0
938	1385	+	amplicon_15	1	16715	100.0
1258	1752	+	amplicon_2	0	28914	100.0
1581	2048	+	amplicon_16	1	17441	100.0
1912	2398	+	amplicon_3	0	5782	100.0
2261	2768	+	amplicon_17	1	13377	100.0
2602	3074	+	amplicon_4	0	31467	100.0
2910	3334	+	amplicon_18	1	24601	100.0
3203	3710	+	amplicon_5	0	30247	100.0
3556	4089	+	amplicon_19	1	24804	100.0
3890	4425	+	amplicon_6	0	37460	100.0
4213	4733	+	amplicon_20	1	38573	100.0
4522	4948	+	amplicon_7	0	22269	100.0
4817	5261	+	amplicon_21	1	4269	100.0
5105	5611	+	amplicon_8	0	1140	100.0
5440	5970	+	amplicon_22	1	10720	100.0
5816	6260	+	amplicon_9	0	31125	100.0
6104	6631	+	amplicon_23	1	16165	100.0
6415	6907	+	amplicon_10	0	20214	100.0
6725	7266	+	amplicon_24	1	17122	100.0
7006	7531	+	amplicon_11	0	6149	100.0
7276	7813	+	amplicon_25	1	1985	100.0
7565	8065	+	amplicon_12	0	1341	100.0
7899	8429	+	amplicon_26	1	1606	100.0
8257	8757	+	amplicon_13	0	1239	96.01
