#chr	pos	coverage
MW355369	54	224
MW355369	55	351
MW355369	56	718
MW355369	57	1558
MW355369	58	1759
MW355369	59	1934
MW355369	60	45036
MW355369	61	45187
MW355369	62	45406
MW355369	63	45596
MW355369	64	45781
MW355369	65	46314
MW355369	66	46452
MW355369	67	46658
MW355369	68	46892
MW355369	69	47240
MW355369	70	47510
MW355369	71	47728
MW355369	72	48114
MW355369	73	48320
MW355369	74	48505
MW355369	75	48702
MW355369	76	48964
MW355369	77	49124
MW355369	78	49304
MW355369	79	49556
MW355369	80	49915
MW355369	81	50322
MW355369	82	50438
MW355369	83	50567
MW355369	84	51018
MW355369	85	51452
MW355369	86	51707
MW355369	87	51875
MW355369	88	52125
MW355369	89	52340
MW355369	90	52626
MW355369	91	52776
MW355369	92	53138
MW355369	93	53309
MW355369	94	53365
MW355369	95	53648
MW355369	96	53744
MW355369	97	53878
MW355369	98	53928
MW355369	99	53933
MW355369	100	54328
MW355369	101	54291
MW355369	102	54335
MW355369	103	54601
MW355369	104	54726
MW355369	105	55071
MW355369	106	55161
MW355369	107	55290
MW355369	108	55473
MW355369	109	55306
MW355369	110	55536
MW355369	111	55783
MW355369	112	55832
MW355369	113	56285
MW355369	114	56459
MW355369	115	56588
MW355369	116	56627
MW355369	117	56595
MW355369	118	56757
MW355369	119	57591
MW355369	120	57945
MW355369	121	58148
MW355369	122	58160
MW355369	123	58213
MW355369	124	57959
MW355369	125	57851
MW355369	126	57825
MW355369	127	57671
MW355369	128	57519
MW355369	129	57397
MW355369	130	57615
MW355369	131	57467
MW355369	132	57894
MW355369	133	57773
MW355369	134	58163
MW355369	135	58183
MW355369	136	58127
MW355369	137	58410
MW355369	138	58044
MW355369	139	58402
MW355369	140	57955
MW355369	141	57924
MW355369	142	58058
MW355369	143	58350
MW355369	144	58312
MW355369	145	58438
MW355369	146	58121
MW355369	147	58341
MW355369	148	58434
MW355369	149	58439
MW355369	150	58390
MW355369	151	58020
MW355369	152	57576
MW355369	153	57664
MW355369	154	57823
MW355369	155	57856
MW355369	156	57857
MW355369	157	57254
MW355369	158	57426
MW355369	159	57543
MW355369	160	57658
MW355369	161	57181
MW355369	162	56616
MW355369	163	56656
MW355369	164	56814
MW355369	165	56980
MW355369	166	56472
MW355369	167	56383
MW355369	168	56471
MW355369	169	56415
MW355369	170	56374
MW355369	171	56300
MW355369	172	56019
MW355369	173	56316
MW355369	174	56546
MW355369	175	56500
MW355369	176	56517
MW355369	177	56499
MW355369	178	56243
MW355369	179	56690
MW355369	180	56395
MW355369	181	55855
MW355369	182	55950
MW355369	183	55692
MW355369	184	55032
MW355369	185	39655
MW355369	186	39100
MW355369	187	39010
MW355369	188	38353
MW355369	189	38539
MW355369	190	38378
MW355369	191	38512
MW355369	192	38459
MW355369	193	37877
MW355369	194	37975
MW355369	195	38352
MW355369	196	38500
MW355369	197	38922
MW355369	198	38905
MW355369	199	39084
MW355369	200	38860
MW355369	201	38862
MW355369	202	38914
MW355369	203	38795
MW355369	204	38750
MW355369	205	38692
MW355369	206	38882
MW355369	207	38786
MW355369	208	38401
MW355369	209	38465
MW355369	210	38492
MW355369	211	38578
MW355369	212	38672
MW355369	213	38739
MW355369	214	38808
MW355369	215	38899
MW355369	216	38785
MW355369	217	38805
MW355369	218	38733
MW355369	219	38813
MW355369	220	38669
MW355369	221	38807
MW355369	222	39055
MW355369	223	39127
MW355369	224	38985
MW355369	225	39076
MW355369	226	39257
MW355369	227	39229
MW355369	228	39277
MW355369	229	39383
MW355369	230	39263
MW355369	231	38913
MW355369	232	38783
MW355369	233	38961
MW355369	234	39000
MW355369	235	38667
MW355369	236	38620
MW355369	237	38791
MW355369	238	38473
MW355369	239	38620
MW355369	240	38515
MW355369	241	38507
MW355369	242	38967
MW355369	243	38975
MW355369	244	38970
MW355369	245	39395
MW355369	246	39150
MW355369	247	39480
MW355369	248	39690
MW355369	249	39740
MW355369	250	39930
MW355369	251	39439
MW355369	252	39799
MW355369	253	39556
MW355369	254	39843
MW355369	255	39902
MW355369	256	39834
MW355369	257	39790
MW355369	258	39786
MW355369	259	40119
MW355369	260	40047
MW355369	261	39933
MW355369	262	39797
MW355369	263	39814
MW355369	264	39662
MW355369	265	39592
MW355369	266	39571
MW355369	267	39456
MW355369	268	39415
MW355369	269	39551
MW355369	270	39724
MW355369	271	39464
MW355369	272	39444
MW355369	273	39388
MW355369	274	39371
MW355369	275	39688
MW355369	276	39529
MW355369	277	39102
MW355369	278	38904
MW355369	279	38950
MW355369	280	39172
MW355369	281	38701
MW355369	282	38734
MW355369	283	38859
MW355369	284	38979
MW355369	285	38715
MW355369	286	38894
MW355369	287	39198
MW355369	288	39106
MW355369	289	39121
MW355369	290	39033
MW355369	291	38862
MW355369	292	39124
MW355369	293	39013
MW355369	294	38552
MW355369	295	38731
MW355369	296	38619
MW355369	297	38970
MW355369	298	38952
MW355369	299	38857
MW355369	300	38807
MW355369	301	38900
MW355369	302	39001
MW355369	303	38946
MW355369	304	38637
MW355369	305	38612
MW355369	306	38543
MW355369	307	38534
MW355369	308	38507
MW355369	309	38432
MW355369	310	38498
MW355369	311	38533
MW355369	312	38554
MW355369	313	38648
MW355369	314	38539
MW355369	315	38500
MW355369	316	38260
MW355369	317	38226
MW355369	318	38330
MW355369	319	38213
MW355369	320	38117
MW355369	321	38108
MW355369	322	37994
MW355369	323	38207
MW355369	324	37861
MW355369	325	37820
MW355369	326	37911
MW355369	327	37881
MW355369	328	38451
MW355369	329	38418
MW355369	330	38387
MW355369	331	38279
MW355369	332	38414
MW355369	333	38532
MW355369	334	38203
MW355369	335	38446
MW355369	336	38339
MW355369	337	38474
MW355369	338	38200
MW355369	339	38269
MW355369	340	38387
MW355369	341	38595
MW355369	342	38706
MW355369	343	38642
MW355369	344	38613
MW355369	345	38556
MW355369	346	38552
MW355369	347	38414
MW355369	348	38187
MW355369	349	38145
MW355369	350	37612
MW355369	351	37747
MW355369	352	37366
MW355369	353	37394
MW355369	354	37363
MW355369	355	37334
MW355369	356	37466
MW355369	357	37448
