#chr	pos	coverage
AY184219	94	56
AY184219	95	7777
AY184219	96	7850
AY184219	97	8670
AY184219	98	9139
AY184219	99	9408
AY184219	100	9479
AY184219	101	9502
AY184219	102	9675
AY184219	103	10019
AY184219	104	10453
AY184219	105	10599
AY184219	106	10614
AY184219	107	10696
AY184219	108	10703
AY184219	109	10741
AY184219	110	10850
AY184219	111	10893
AY184219	112	11131
AY184219	113	11639
AY184219	114	11678
AY184219	115	12002
AY184219	116	12007
AY184219	117	12382
AY184219	118	12414
AY184219	119	12738
AY184219	120	13052
AY184219	121	13074
AY184219	122	13187
AY184219	123	13235
AY184219	124	15763
AY184219	125	15865
AY184219	126	15874
AY184219	127	17904
AY184219	128	17923
AY184219	129	19345
AY184219	130	19408
AY184219	131	19500
AY184219	132	19687
AY184219	133	19868
AY184219	134	20142
AY184219	135	20180
AY184219	136	20435
AY184219	137	20801
AY184219	138	21252
AY184219	139	22896
AY184219	140	22999
AY184219	141	23044
AY184219	142	24023
AY184219	143	24124
AY184219	144	25659
AY184219	145	25873
AY184219	146	26460
AY184219	147	26676
AY184219	148	26699
AY184219	149	27263
AY184219	150	27387
AY184219	151	27437
AY184219	152	27563
AY184219	153	27656
AY184219	154	28197
AY184219	155	28570
AY184219	156	28617
AY184219	157	28602
AY184219	158	28767
AY184219	159	28884
AY184219	160	29419
AY184219	161	29460
AY184219	162	29535
AY184219	163	29617
AY184219	164	29657
AY184219	165	29953
AY184219	166	30129
AY184219	167	30134
AY184219	168	31083
AY184219	169	31114
AY184219	170	31369
AY184219	171	31820
AY184219	172	31836
AY184219	173	32007
AY184219	174	32104
AY184219	175	32235
AY184219	176	32377
AY184219	177	32504
AY184219	178	32546
AY184219	179	32607
AY184219	180	32762
AY184219	181	32813
AY184219	182	33500
AY184219	183	33620
AY184219	184	33746
AY184219	185	35405
AY184219	186	35469
AY184219	187	38501
AY184219	188	38611
AY184219	189	43351
AY184219	190	45964
AY184219	191	45958
AY184219	192	46237
AY184219	193	46294
AY184219	194	46233
AY184219	195	46556
AY184219	196	46560
AY184219	197	47229
AY184219	198	46941
AY184219	199	47212
AY184219	200	47281
AY184219	201	47333
AY184219	202	47474
AY184219	203	47647
AY184219	204	47804
AY184219	205	47865
AY184219	206	47877
AY184219	207	48059
AY184219	208	49755
AY184219	209	50020
AY184219	210	50042
AY184219	211	50120
AY184219	212	50144
AY184219	213	50205
AY184219	214	50249
AY184219	215	50299
AY184219	216	50538
AY184219	217	50514
AY184219	218	50922
AY184219	219	50975
AY184219	220	51004
AY184219	221	51369
AY184219	222	51478
AY184219	223	52177
