#chr	pos	coverage
NC_001489	291	1
NC_001489	292	35
NC_001489	293	16443
NC_001489	294	16727
NC_001489	295	17717
NC_001489	296	17846
NC_001489	297	17907
NC_001489	298	17959
NC_001489	299	18058
NC_001489	300	18211
NC_001489	301	18332
NC_001489	302	18455
NC_001489	303	19045
NC_001489	304	19113
NC_001489	305	19217
NC_001489	306	19372
NC_001489	307	19456
NC_001489	308	19551
NC_001489	309	20529
NC_001489	310	20647
NC_001489	311	21153
NC_001489	312	21203
NC_001489	313	21342
NC_001489	314	21469
NC_001489	315	21555
NC_001489	316	21573
NC_001489	317	21570
NC_001489	318	21578
NC_001489	319	21734
NC_001489	320	21788
NC_001489	321	21874
NC_001489	322	21942
NC_001489	323	22169
NC_001489	324	22327
NC_001489	325	22385
NC_001489	326	22422
NC_001489	327	22484
NC_001489	328	22506
NC_001489	329	22569
NC_001489	330	22946
NC_001489	331	22907
NC_001489	332	22923
NC_001489	333	22791
NC_001489	334	22840
NC_001489	335	22725
NC_001489	336	22637
NC_001489	337	22602
NC_001489	338	22452
NC_001489	339	22152
NC_001489	340	22133
NC_001489	341	22194
NC_001489	342	22249
NC_001489	343	22476
NC_001489	344	22561
NC_001489	345	22393
NC_001489	346	22304
NC_001489	347	22272
NC_001489	348	22279
NC_001489	349	22369
NC_001489	350	22758
NC_001489	351	21589
NC_001489	352	22037
NC_001489	353	22034
NC_001489	354	21817
NC_001489	355	21652
NC_001489	356	21782
NC_001489	357	21978
NC_001489	358	21678
NC_001489	359	20718
NC_001489	360	20726
NC_001489	361	20763
NC_001489	362	20727
NC_001489	363	20761
NC_001489	364	20921
NC_001489	365	20838
NC_001489	366	20847
NC_001489	367	20962
NC_001489	368	20830
NC_001489	369	20400
NC_001489	370	20270
NC_001489	371	20495
NC_001489	372	20426
NC_001489	373	20218
NC_001489	374	20095
NC_001489	375	20530
NC_001489	376	20523
NC_001489	377	20481
NC_001489	378	20248
NC_001489	379	20018
NC_001489	380	20039
NC_001489	381	19976
NC_001489	382	20145
NC_001489	383	19936
NC_001489	384	19895
NC_001489	385	19961
NC_001489	386	19984
NC_001489	387	20039
NC_001489	388	20118
NC_001489	389	19848
NC_001489	390	19861
NC_001489	391	19881
NC_001489	392	19222
NC_001489	393	19418
NC_001489	394	19356
NC_001489	395	19154
NC_001489	396	19140
NC_001489	397	19229
NC_001489	398	19006
NC_001489	399	18918
NC_001489	400	18813
NC_001489	401	18863
NC_001489	402	18997
NC_001489	403	18872
NC_001489	404	18990
NC_001489	405	19260
NC_001489	406	19098
NC_001489	407	19218
NC_001489	408	19133
NC_001489	409	19061
NC_001489	410	18977
NC_001489	411	19062
NC_001489	412	18896
NC_001489	413	18634
NC_001489	414	18878
NC_001489	415	18851
NC_001489	416	18798
NC_001489	417	18645
NC_001489	418	18646
NC_001489	419	18289
NC_001489	420	18253
NC_001489	421	18121
NC_001489	422	14951
NC_001489	423	14755
NC_001489	424	14423
NC_001489	425	14349
NC_001489	426	14789
NC_001489	427	14598
NC_001489	428	14554
NC_001489	429	14653
NC_001489	430	14538
NC_001489	431	14666
NC_001489	432	14664
NC_001489	433	14528
NC_001489	434	14447
NC_001489	435	14471
NC_001489	436	14505
NC_001489	437	14080
NC_001489	438	14152
NC_001489	439	14108
NC_001489	440	13921
NC_001489	441	13720
NC_001489	442	13832
NC_001489	443	13557
NC_001489	444	13578
NC_001489	445	13569
NC_001489	446	13517
NC_001489	447	13538
NC_001489	448	13526
NC_001489	449	13517
NC_001489	450	13033
NC_001489	451	13054
NC_001489	452	12966
NC_001489	453	13045
NC_001489	454	12902
NC_001489	455	13026
NC_001489	456	13131
NC_001489	457	13115
NC_001489	458	12877
NC_001489	459	12758
NC_001489	460	12630
NC_001489	461	12508
NC_001489	462	12483
NC_001489	463	12435
NC_001489	464	12423
NC_001489	465	12348
NC_001489	466	12419
NC_001489	467	12392
NC_001489	468	12493
NC_001489	469	12455
NC_001489	470	12133
NC_001489	471	12142
NC_001489	472	12259
NC_001489	473	12188
NC_001489	474	12092
NC_001489	475	12034
NC_001489	476	12339
NC_001489	477	12223
NC_001489	478	12192
NC_001489	479	12552
NC_001489	480	12526
NC_001489	481	12546
NC_001489	482	12590
NC_001489	483	12675
NC_001489	484	12754
NC_001489	485	12487
NC_001489	486	12562
NC_001489	487	12431
NC_001489	488	12461
NC_001489	489	12528
NC_001489	490	12478
NC_001489	491	12357
NC_001489	492	12332
NC_001489	493	12088
NC_001489	494	12245
NC_001489	495	12332
NC_001489	496	12184
NC_001489	497	12158
NC_001489	498	12184
NC_001489	499	12166
NC_001489	500	12131
NC_001489	501	11684
NC_001489	502	11701
NC_001489	503	11665
NC_001489	504	11738
NC_001489	505	11656
NC_001489	506	11603
NC_001489	507	11645
NC_001489	508	11545
NC_001489	509	11500
