#chr	pos	coverage
NC_001489	293	2181
NC_001489	294	2183
NC_001489	295	2191
NC_001489	296	2192
NC_001489	297	2181
NC_001489	298	2189
NC_001489	299	2188
NC_001489	300	2193
NC_001489	301	2190
NC_001489	302	2183
NC_001489	303	2187
NC_001489	304	2185
NC_001489	305	2194
NC_001489	306	2196
NC_001489	307	2199
NC_001489	308	2199
NC_001489	309	2181
NC_001489	310	2192
NC_001489	311	2162
NC_001489	312	2190
NC_001489	313	2186
NC_001489	314	2197
NC_001489	315	2199
NC_001489	316	2196
NC_001489	317	2200
NC_001489	318	2088
NC_001489	319	2199
NC_001489	320	2194
NC_001489	321	2190
NC_001489	322	2182
NC_001489	323	2196
NC_001489	324	2200
NC_001489	325	2197
NC_001489	326	2197
NC_001489	327	2195
NC_001489	328	2201
NC_001489	329	2200
NC_001489	330	2203
NC_001489	331	2193
NC_001489	332	2206
NC_001489	333	2207
NC_001489	334	2196
NC_001489	335	2203
NC_001489	336	2180
NC_001489	337	2207
NC_001489	338	2200
NC_001489	339	2200
NC_001489	340	2204
NC_001489	341	2207
NC_001489	342	2210
NC_001489	343	2206
NC_001489	344	2209
NC_001489	345	2206
NC_001489	346	2213
NC_001489	347	2213
NC_001489	348	2215
NC_001489	349	2226
NC_001489	350	2228
NC_001489	351	2226
NC_001489	352	2229
NC_001489	353	2226
NC_001489	354	2229
NC_001489	355	2226
NC_001489	356	2232
NC_001489	357	2228
NC_001489	358	2230
NC_001489	359	2243
NC_001489	360	2237
NC_001489	361	2243
NC_001489	362	2239
NC_001489	363	2220
NC_001489	364	2239
NC_001489	365	2240
NC_001489	366	2239
NC_001489	367	2240
NC_001489	368	2237
NC_001489	369	2237
NC_001489	370	2234
NC_001489	371	2235
NC_001489	372	2233
NC_001489	373	2213
NC_001489	374	2225
NC_001489	375	2217
NC_001489	376	2215
NC_001489	377	2234
NC_001489	378	2238
NC_001489	379	2226
NC_001489	380	2240
NC_001489	381	2232
NC_001489	382	2240
NC_001489	383	2243
NC_001489	384	2246
NC_001489	385	2239
NC_001489	386	2245
NC_001489	387	2244
NC_001489	388	2242
NC_001489	389	2240
NC_001489	390	2233
NC_001489	391	2214
NC_001489	392	2233
NC_001489	393	2244
NC_001489	394	2244
NC_001489	395	2237
NC_001489	396	2236
NC_001489	397	2235
NC_001489	398	2236
NC_001489	399	2234
NC_001489	400	2245
NC_001489	401	2248
NC_001489	402	2237
NC_001489	403	2226
NC_001489	404	2245
NC_001489	405	2251
NC_001489	406	2251
NC_001489	407	2239
NC_001489	408	2212
NC_001489	409	2232
NC_001489	410	2230
NC_001489	411	2223
NC_001489	412	2235
NC_001489	413	2225
NC_001489	414	2234
NC_001489	415	2204
NC_001489	416	2238
NC_001489	417	2250
NC_001489	418	2239
NC_001489	419	2247
NC_001489	420	2220
NC_001489	421	2216
NC_001489	422	2224
NC_001489	423	2235
NC_001489	424	2232
NC_001489	425	2219
NC_001489	426	2205
NC_001489	427	2212
NC_001489	428	2224
NC_001489	429	2220
NC_001489	430	2200
NC_001489	431	2225
NC_001489	432	2226
NC_001489	433	2211
NC_001489	434	2201
NC_001489	435	2204
NC_001489	436	2203
NC_001489	437	2210
NC_001489	438	2207
NC_001489	439	2208
NC_001489	440	2208
NC_001489	441	2212
NC_001489	442	2190
NC_001489	443	2200
NC_001489	444	2212
NC_001489	445	2211
NC_001489	446	2205
NC_001489	447	2200
NC_001489	448	2200
NC_001489	449	2189
NC_001489	450	2199
NC_001489	451	2145
NC_001489	452	2189
NC_001489	453	2173
NC_001489	454	2142
NC_001489	455	2150
NC_001489	456	2171
NC_001489	457	2176
NC_001489	458	2164
NC_001489	459	2157
NC_001489	460	2141
NC_001489	461	2155
NC_001489	462	2161
NC_001489	463	2154
NC_001489	464	2146
NC_001489	465	2148
NC_001489	466	2136
NC_001489	467	2138
NC_001489	468	2149
NC_001489	469	2150
NC_001489	470	2159
NC_001489	471	2133
NC_001489	472	2157
NC_001489	473	2154
NC_001489	474	2145
NC_001489	475	2145
NC_001489	476	2145
NC_001489	477	2141
NC_001489	478	2147
NC_001489	479	2148
NC_001489	480	2142
NC_001489	481	2149
NC_001489	482	2047
NC_001489	483	2124
NC_001489	484	2115
NC_001489	485	2116
NC_001489	486	2101
NC_001489	487	2092
NC_001489	488	2127
NC_001489	489	2134
NC_001489	490	2130
NC_001489	491	2128
NC_001489	492	2126
NC_001489	493	2128
NC_001489	494	2126
NC_001489	495	2120
NC_001489	496	2126
NC_001489	497	2116
NC_001489	498	2123
NC_001489	499	2125
NC_001489	500	2120
NC_001489	501	2124
NC_001489	502	2132
NC_001489	503	2134
NC_001489	504	2113
NC_001489	505	2125
NC_001489	506	2117
NC_001489	507	2099
NC_001489	508	2106
NC_001489	509	2102
NC_001489	510	2092
NC_001489	511	2072
NC_001489	512	2059
NC_001489	513	2091
NC_001489	514	2076
NC_001489	515	2054
NC_001489	516	2034
NC_001489	517	2037
NC_001489	518	2038
NC_001489	519	2106
NC_001489	520	2108
NC_001489	521	2101
NC_001489	522	2111
NC_001489	523	2109
NC_001489	524	2108
NC_001489	525	2096
NC_001489	526	2091
NC_001489	527	2092
NC_001489	528	2087
NC_001489	529	2086
NC_001489	530	2082
NC_001489	531	2076
NC_001489	532	2084
NC_001489	533	2077
NC_001489	534	2086
NC_001489	535	2082
NC_001489	536	2083
NC_001489	537	2082
NC_001489	538	2086
NC_001489	539	2081
NC_001489	540	2088
NC_001489	541	2087
NC_001489	542	2094
NC_001489	543	2094
NC_001489	544	2089
NC_001489	545	2093
NC_001489	546	2085
NC_001489	547	2087
NC_001489	548	2090
NC_001489	549	2091
NC_001489	550	2086
NC_001489	551	2088
NC_001489	552	2075
NC_001489	553	2088
NC_001489	554	2082
NC_001489	555	2075
NC_001489	556	2069
NC_001489	557	2072
NC_001489	558	2058
NC_001489	559	2074
NC_001489	560	1963
NC_001489	561	2033
NC_001489	562	2083
NC_001489	563	2089
NC_001489	564	2083
NC_001489	565	2089
NC_001489	566	2069
NC_001489	567	2065
NC_001489	568	2083
NC_001489	569	2039
NC_001489	570	2087
NC_001489	571	2082
NC_001489	572	2081
NC_001489	573	2037
NC_001489	574	2072
NC_001489	575	2074
NC_001489	576	2069
NC_001489	577	2076
NC_001489	578	2046
NC_001489	579	2016
NC_001489	580	2021
NC_001489	581	2052
NC_001489	582	2046
NC_001489	583	2046
NC_001489	584	2060
NC_001489	585	2061
NC_001489	586	2067
NC_001489	587	2067
NC_001489	588	2060
NC_001489	589	2037
NC_001489	590	2074
NC_001489	591	2076
NC_001489	592	2032
NC_001489	593	2072
NC_001489	594	2058
NC_001489	595	1970
NC_001489	596	1977
NC_001489	597	2048
NC_001489	598	2059
NC_001489	599	2066
NC_001489	600	2070
NC_001489	601	2067
NC_001489	602	2071
NC_001489	603	2056
NC_001489	604	2029
NC_001489	605	2045
NC_001489	606	2065
NC_001489	607	2061
NC_001489	608	2070
NC_001489	609	2060
NC_001489	610	2059
NC_001489	611	2050
NC_001489	612	2058
NC_001489	613	2006
NC_001489	614	2044
NC_001489	615	2054
NC_001489	616	2052
NC_001489	617	1977
NC_001489	618	2053
NC_001489	619	2057
NC_001489	620	2050
NC_001489	621	2019
NC_001489	622	2048
NC_001489	623	2008
NC_001489	624	2037
NC_001489	625	2043
NC_001489	626	2045
NC_001489	627	2018
NC_001489	628	2016
NC_001489	629	2022
NC_001489	630	2029
NC_001489	631	1956
NC_001489	632	2039
NC_001489	633	2040
NC_001489	634	2039
NC_001489	635	2025
NC_001489	636	2020
NC_001489	637	1951
NC_001489	638	1997
NC_001489	639	2042
NC_001489	640	2042
NC_001489	641	2001
NC_001489	642	2038
NC_001489	643	2038
NC_001489	644	2027
NC_001489	645	2021
NC_001489	646	2016
NC_001489	647	2020
NC_001489	648	2035
NC_001489	649	2035
NC_001489	650	2031
NC_001489	651	2040
NC_001489	652	2043
NC_001489	653	2038
NC_001489	654	2035
NC_001489	655	2034
NC_001489	656	2037
NC_001489	657	2040
NC_001489	658	2036
NC_001489	659	2020
NC_001489	660	2036
NC_001489	661	2023
NC_001489	662	1991
NC_001489	663	2042
NC_001489	664	2041
NC_001489	665	2010
NC_001489	666	2053
NC_001489	667	2048
NC_001489	668	2046
NC_001489	669	2026
NC_001489	670	2058
NC_001489	671	2047
NC_001489	672	2066
NC_001489	673	2075
NC_001489	674	2050
NC_001489	675	2047
NC_001489	676	2058
NC_001489	677	2054
NC_001489	678	2063
NC_001489	679	2058
NC_001489	680	2054
NC_001489	681	2052
NC_001489	682	2065
NC_001489	683	2063
NC_001489	684	2064
NC_001489	685	2063
NC_001489	686	2066
NC_001489	687	2067
NC_001489	688	2036
NC_001489	689	2067
NC_001489	690	2040
NC_001489	691	2050
NC_001489	692	2056
NC_001489	693	2056
NC_001489	694	2039
NC_001489	695	2051
NC_001489	696	2050
NC_001489	697	2032
NC_001489	698	2064
NC_001489	699	2067
NC_001489	700	2024
NC_001489	701	2068
NC_001489	702	2063
NC_001489	703	2059
NC_001489	704	2055
NC_001489	705	2051
NC_001489	706	2038
