#chr	pos	coverage
NC_001489	291	1
NC_001489	292	15
NC_001489	293	9156
NC_001489	294	9204
NC_001489	295	9344
NC_001489	296	9420
NC_001489	297	9450
NC_001489	298	9485
NC_001489	299	9544
NC_001489	300	9592
NC_001489	301	9650
NC_001489	302	9723
NC_001489	303	9935
NC_001489	304	9959
NC_001489	305	9995
NC_001489	306	10051
NC_001489	307	10093
NC_001489	308	10150
NC_001489	309	10508
NC_001489	310	10552
NC_001489	311	10852
NC_001489	312	10887
NC_001489	313	10951
NC_001489	314	11025
NC_001489	315	11074
NC_001489	316	11082
NC_001489	317	11100
NC_001489	318	11116
NC_001489	319	11207
NC_001489	320	11240
NC_001489	321	11305
NC_001489	322	11336
NC_001489	323	11480
NC_001489	324	11612
NC_001489	325	11714
NC_001489	326	11760
NC_001489	327	11827
NC_001489	328	11850
NC_001489	329	11919
NC_001489	330	12139
NC_001489	331	12135
NC_001489	332	12183
NC_001489	333	12205
NC_001489	334	12258
NC_001489	335	12246
NC_001489	336	12285
NC_001489	337	12231
NC_001489	338	12322
NC_001489	339	12361
NC_001489	340	12411
NC_001489	341	12471
NC_001489	342	12554
NC_001489	343	12680
NC_001489	344	12719
NC_001489	345	12732
NC_001489	346	12742
NC_001489	347	12774
NC_001489	348	12817
NC_001489	349	12881
NC_001489	350	13193
NC_001489	351	13079
NC_001489	352	13257
NC_001489	353	13230
NC_001489	354	13261
NC_001489	355	13307
NC_001489	356	13375
NC_001489	357	13602
NC_001489	358	13595
NC_001489	359	13531
NC_001489	360	13588
NC_001489	361	13573
NC_001489	362	13730
NC_001489	363	13795
NC_001489	364	13948
NC_001489	365	13960
NC_001489	366	14044
NC_001489	367	14091
NC_001489	368	14084
NC_001489	369	13911
NC_001489	370	13870
NC_001489	371	13967
NC_001489	372	13919
NC_001489	373	13914
NC_001489	374	13933
NC_001489	375	14189
NC_001489	376	14230
NC_001489	377	14283
NC_001489	378	14249
NC_001489	379	14202
NC_001489	380	14099
NC_001489	381	14070
NC_001489	382	14225
NC_001489	383	14146
NC_001489	384	14157
NC_001489	385	14200
NC_001489	386	14239
NC_001489	387	14311
NC_001489	388	14364
NC_001489	389	14301
NC_001489	390	14299
NC_001489	391	14315
NC_001489	392	14116
NC_001489	393	14100
NC_001489	394	14126
NC_001489	395	14057
NC_001489	396	14094
NC_001489	397	14207
NC_001489	398	14084
NC_001489	399	14032
NC_001489	400	13998
NC_001489	401	14027
NC_001489	402	14147
NC_001489	403	14102
NC_001489	404	14192
NC_001489	405	14369
NC_001489	406	14251
