start	stop	strand	name	score	mean coverage	recovery
41	532	+	amplicon_0	0	9872	95.73
332	825	+	amplicon_14	1	29714	100.0
657	1089	+	amplicon_1	0	40358	100.0
938	1385	+	amplicon_15	1	38573	100.0
1258	1752	+	amplicon_2	0	70347	100.0
1581	2048	+	amplicon_16	1	54738	100.0
1912	2398	+	amplicon_3	0	19649	100.0
2261	2768	+	amplicon_17	1	32500	100.0
2602	3074	+	amplicon_4	0	57089	100.0
2910	3334	+	amplicon_18	1	43435	100.0
3203	3710	+	amplicon_5	0	49306	100.0
3556	4089	+	amplicon_19	1	44128	100.0
3890	4425	+	amplicon_6	0	57733	100.0
4213	4733	+	amplicon_20	1	62441	100.0
4522	4948	+	amplicon_7	0	49355	100.0
4817	5261	+	amplicon_21	1	17647	100.0
5105	5611	+	amplicon_8	0	3249	100.0
5440	5970	+	amplicon_22	1	12359	100.0
5816	6260	+	amplicon_9	0	33730	100.0
6104	6631	+	amplicon_23	1	23052	100.0
6415	6907	+	amplicon_10	0	27726	100.0
6725	7266	+	amplicon_24	1	26443	100.0
7006	7531	+	amplicon_11	0	11902	100.0
7276	7813	+	amplicon_25	1	4840	100.0
7565	8065	+	amplicon_12	0	3458	100.0
7899	8429	+	amplicon_26	1	4818	100.0
8257	8757	+	amplicon_13	0	4351	96.21
