#chr	pos	coverage
NC_001489	292	20
NC_001489	293	9537
NC_001489	294	9614
NC_001489	295	9780
NC_001489	296	9825
NC_001489	297	9878
NC_001489	298	9937
NC_001489	299	9993
NC_001489	300	10066
NC_001489	301	10142
NC_001489	302	10212
NC_001489	303	10548
NC_001489	304	10606
NC_001489	305	10652
NC_001489	306	10757
NC_001489	307	10815
NC_001489	308	10888
NC_001489	309	11536
NC_001489	310	11592
NC_001489	311	11902
NC_001489	312	11933
NC_001489	313	12031
NC_001489	314	12087
NC_001489	315	12175
NC_001489	316	12182
NC_001489	317	12160
NC_001489	318	12179
NC_001489	319	12248
NC_001489	320	12292
NC_001489	321	12351
NC_001489	322	12367
NC_001489	323	12437
NC_001489	324	12544
NC_001489	325	12607
NC_001489	326	12661
NC_001489	327	12732
NC_001489	328	12735
NC_001489	329	12773
NC_001489	330	12970
NC_001489	331	12930
NC_001489	332	12926
NC_001489	333	12928
NC_001489	334	12954
NC_001489	335	12895
NC_001489	336	12865
NC_001489	337	12790
NC_001489	338	12868
NC_001489	339	12891
NC_001489	340	12880
NC_001489	341	12949
NC_001489	342	12996
NC_001489	343	13164
NC_001489	344	13179
NC_001489	345	13119
NC_001489	346	13106
NC_001489	347	13105
NC_001489	348	13111
NC_001489	349	13194
NC_001489	350	13606
NC_001489	351	13381
NC_001489	352	13608
NC_001489	353	13604
NC_001489	354	13614
NC_001489	355	13612
NC_001489	356	13502
NC_001489	357	13691
NC_001489	358	13589
NC_001489	359	13476
NC_001489	360	13478
NC_001489	361	13453
NC_001489	362	13580
NC_001489	363	13599
NC_001489	364	13676
NC_001489	365	13670
NC_001489	366	13728
NC_001489	367	13775
NC_001489	368	13770
NC_001489	369	13608
NC_001489	370	13537
NC_001489	371	13680
NC_001489	372	13657
NC_001489	373	13587
NC_001489	374	13502
NC_001489	375	13715
NC_001489	376	13679
NC_001489	377	13739
NC_001489	378	13604
NC_001489	379	13506
NC_001489	380	13499
NC_001489	381	13462
NC_001489	382	13572
NC_001489	383	13429
NC_001489	384	13380
NC_001489	385	13410
NC_001489	386	13353
NC_001489	387	13355
NC_001489	388	13397
NC_001489	389	13255
NC_001489	390	13244
NC_001489	391	13245
NC_001489	392	12960
NC_001489	393	12898
NC_001489	394	12959
NC_001489	395	12866
NC_001489	396	12879
NC_001489	397	13004
NC_001489	398	12874
NC_001489	399	12843
NC_001489	400	12736
NC_001489	401	12781
NC_001489	402	12881
NC_001489	403	12792
NC_001489	404	12872
NC_001489	405	13080
NC_001489	406	12982
NC_001489	407	13085
NC_001489	408	13053
NC_001489	409	13099
NC_001489	410	13119
NC_001489	411	13145
NC_001489	412	13051
NC_001489	413	12933
NC_001489	414	13114
NC_001489	415	13088
NC_001489	416	13051
NC_001489	417	12983
NC_001489	418	13000
NC_001489	419	12830
NC_001489	420	12837
NC_001489	421	12834
NC_001489	422	10674
NC_001489	423	10860
NC_001489	424	10856
NC_001489	425	10692
NC_001489	426	10885
NC_001489	427	10755
NC_001489	428	10704
NC_001489	429	10782
NC_001489	430	10750
NC_001489	431	10896
NC_001489	432	10886
NC_001489	433	10834
NC_001489	434	10811
NC_001489	435	10844
NC_001489	436	10883
NC_001489	437	10607
NC_001489	438	10712
NC_001489	439	10742
NC_001489	440	10670
NC_001489	441	10507
NC_001489	442	10582
NC_001489	443	10554
NC_001489	444	10553
NC_001489	445	10535
NC_001489	446	10463
NC_001489	447	10459
NC_001489	448	10410
NC_001489	449	10408
NC_001489	450	10146
NC_001489	451	10161
NC_001489	452	10093
NC_001489	453	10189
NC_001489	454	10105
NC_001489	455	10200
NC_001489	456	10269
NC_001489	457	10304
NC_001489	458	10130
NC_001489	459	10040
NC_001489	460	9933
NC_001489	461	9945
NC_001489	462	9902
NC_001489	463	9931
NC_001489	464	9958
NC_001489	465	9910
NC_001489	466	10027
NC_001489	467	10084
NC_001489	468	10234
NC_001489	469	10268
NC_001489	470	10011
NC_001489	471	10022
NC_001489	472	10177
NC_001489	473	10086
NC_001489	474	10011
NC_001489	475	9919
NC_001489	476	10246
NC_001489	477	10160
NC_001489	478	10199
NC_001489	479	10427
NC_001489	480	10390
NC_001489	481	10398
NC_001489	482	10433
NC_001489	483	10476
NC_001489	484	10548
NC_001489	485	10336
NC_001489	486	10390
NC_001489	487	10289
NC_001489	488	10303
NC_001489	489	10344
NC_001489	490	10279
NC_001489	491	10206
NC_001489	492	10198
NC_001489	493	9994
NC_001489	494	10138
NC_001489	495	10175
NC_001489	496	10046
NC_001489	497	10016
NC_001489	498	9994
NC_001489	499	9941
NC_001489	500	9919
NC_001489	501	9517
NC_001489	502	9507
NC_001489	503	9482
NC_001489	504	9512
NC_001489	505	9459
NC_001489	506	9439
