start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	1167	96.98
705	1476	+	amplicon_28	1	1134	100.0
1257	1960	+	amplicon_1	0	797	100.0
1706	2410	+	amplicon_29	1	711	100.0
2140	2904	+	amplicon_2	0	1129	97.12
2715	3484	+	amplicon_30	1	260	60.13
3144	3885	+	amplicon_3	0	45	63.88
3685	4423	+	amplicon_31	1	244	97.02
4282	5025	+	amplicon_4	0	1706	100.0
4775	5550	+	amplicon_32	1	3455	100.0
5293	6038	+	amplicon_5	0	1727	100.0
5795	6560	+	amplicon_33	1	1172	100.0
6363	7120	+	amplicon_6	0	499	100.0
7000	7770	+	amplicon_34	1	128	100.0
7577	8328	+	amplicon_7	0	78	97.21
8174	8890	+	amplicon_35	1	64	42.96
8694	9400	+	amplicon_8	0	253	96.75
9221	9969	+	amplicon_36	1	971	100.0
9644	10387	+	amplicon_9	0	2018	100.0
10078	10836	+	amplicon_37	1	1467	100.0
10670	11469	+	amplicon_10	0	967	98.88
11221	11945	+	amplicon_38	1	1702	98.76
11796	12560	+	amplicon_11	0	1288	98.3
12419	13185	+	amplicon_39	1	282	44.2
13034	13832	+	amplicon_12	0	720	97.37
13479	14203	+	amplicon_40	1	705	100.0
14015	14787	+	amplicon_13	0	529	100.0
14620	15362	+	amplicon_41	1	529	100.0
15089	15858	+	amplicon_14	0	1900	100.0
15532	16258	+	amplicon_42	1	2617	100.0
16007	16719	+	amplicon_15	0	885	97.48
16570	17343	+	amplicon_43	1	643	100.0
17149	17854	+	amplicon_16	0	1410	100.0
17561	18311	+	amplicon_44	1	2044	100.0
18100	18899	+	amplicon_17	0	1112	100.0
18674	19402	+	amplicon_45	1	947	100.0
19276	19981	+	amplicon_18	0	1452	100.0
19844	20632	+	amplicon_46	1	449	100.0
20462	21226	+	amplicon_19	0	929	100.0
20889	21608	+	amplicon_47	1	1829	100.0
21294	22098	+	amplicon_20	0	1015	97.64
21893	22649	+	amplicon_48	1	574	99.08
22432	23225	+	amplicon_21	0	463	96.73
23103	23814	+	amplicon_49	1	70	51.26
23489	24202	+	amplicon_22	0	86	56.58
24042	24808	+	amplicon_50	1	1015	97.13
24545	25283	+	amplicon_23	0	2073	100.0
25053	25791	+	amplicon_51	1	717	100.0
25665	26366	+	amplicon_24	0	505	100.0
26197	26960	+	amplicon_52	1	504	97.12
26820	27602	+	amplicon_25	0	212	70.37
27448	28199	+	amplicon_53	1	812	100.0
27986	28723	+	amplicon_26	0	557	98.78
28474	29232	+	amplicon_54	1	409	100.0
29101	29847	+	amplicon_27	0	935	93.31
