#chr	pos	coverage
AY184221	93	1
AY184221	94	12
AY184221	95	9720
AY184221	96	9769
AY184221	97	10341
AY184221	98	10641
AY184221	99	10704
AY184221	100	10875
AY184221	101	10880
AY184221	102	10899
AY184221	103	11310
AY184221	104	11359
AY184221	105	15274
AY184221	106	15468
AY184221	107	15577
AY184221	108	15632
AY184221	109	15655
AY184221	110	16346
AY184221	111	16390
AY184221	112	16471
AY184221	113	17029
AY184221	114	17458
AY184221	115	18493
AY184221	116	18589
AY184221	117	18629
AY184221	118	19184
AY184221	119	19265
AY184221	120	20587
AY184221	121	20676
AY184221	122	20734
AY184221	123	21346
AY184221	124	21443
AY184221	125	21639
AY184221	126	22381
AY184221	127	23828
AY184221	128	23865
AY184221	129	28712
AY184221	130	28757
AY184221	131	31345
AY184221	132	31550
AY184221	133	31820
AY184221	134	32063
AY184221	135	32408
AY184221	136	32641
AY184221	137	32730
AY184221	138	32887
AY184221	139	33273
AY184221	140	33749
AY184221	141	34782
AY184221	142	34926
AY184221	143	34964
AY184221	144	35189
AY184221	145	35533
AY184221	146	35897
AY184221	147	36154
AY184221	148	36275
AY184221	149	36309
AY184221	150	36301
AY184221	151	36445
AY184221	152	36507
AY184221	153	36559
AY184221	154	36841
AY184221	155	36997
AY184221	156	37604
AY184221	157	37922
AY184221	158	37944
AY184221	159	38012
AY184221	160	38045
AY184221	161	38155
AY184221	162	38803
AY184221	163	38846
AY184221	164	38958
AY184221	165	39212
AY184221	166	39309
AY184221	167	40340
AY184221	168	40630
AY184221	169	40638
AY184221	170	41991
AY184221	171	41962
AY184221	172	42574
AY184221	173	43472
AY184221	174	43492
AY184221	175	43752
AY184221	176	43682
AY184221	177	43961
AY184221	178	44803
AY184221	179	44923
AY184221	180	45054
AY184221	181	45053
AY184221	182	45245
AY184221	183	45390
AY184221	184	45529
AY184221	185	45622
AY184221	186	45733
AY184221	187	45883
AY184221	188	46108
AY184221	189	46433
AY184221	190	46713
AY184221	191	48209
AY184221	192	48949
AY184221	193	49344
AY184221	194	49379
AY184221	195	49436
AY184221	196	49758
AY184221	197	50568
AY184221	198	50570
AY184221	199	50959
AY184221	200	50708
AY184221	201	51751
AY184221	202	51744
AY184221	203	52014
AY184221	204	52025
AY184221	205	52082
AY184221	206	52042
AY184221	207	52080
AY184221	208	52699
AY184221	209	53769
AY184221	210	54706
AY184221	211	54777
AY184221	212	54781
AY184221	213	54901
AY184221	214	55134
AY184221	215	55142
AY184221	216	55143
AY184221	217	55281
AY184221	218	55211
AY184221	219	55541
AY184221	220	55567
AY184221	221	55751
AY184221	222	55742
AY184221	223	55779
AY184221	224	56385
AY184221	225	56628
AY184221	226	57621
AY184221	227	57657
AY184221	228	58455
AY184221	229	58640
AY184221	230	58686
AY184221	231	58796
AY184221	232	58776
AY184221	233	58986
AY184221	234	58889
AY184221	235	58974
AY184221	236	60416
AY184221	237	60267
AY184221	238	60986
AY184221	239	61016
AY184221	240	61158
AY184221	241	61298
AY184221	242	61363
AY184221	243	61798
AY184221	244	61983
AY184221	245	61612
AY184221	246	61913
AY184221	247	61838
AY184221	248	62007
AY184221	249	62008
AY184221	250	62054
AY184221	251	62142
AY184221	252	61998
AY184221	253	64767
AY184221	254	65196
AY184221	255	65498
AY184221	256	65752
AY184221	257	65794
AY184221	258	66319
AY184221	259	66369
AY184221	260	66385
AY184221	261	66498
AY184221	262	65299
AY184221	263	65857
AY184221	264	66488
AY184221	265	66454
AY184221	266	66664
AY184221	267	66577
AY184221	268	67067
AY184221	269	67117
AY184221	270	67155
AY184221	271	67297
AY184221	272	67006
AY184221	273	67215
AY184221	274	67411
AY184221	275	67466
AY184221	276	67485
AY184221	277	67364
AY184221	278	67396
AY184221	279	67636
AY184221	280	67971
AY184221	281	68165
AY184221	282	68197
AY184221	283	68342
AY184221	284	68326
AY184221	285	68590
AY184221	286	68636
AY184221	287	68908
AY184221	288	68973
AY184221	289	68826
AY184221	290	69121
AY184221	291	69044
AY184221	292	69877
AY184221	293	70375
AY184221	294	70486
AY184221	295	70708
AY184221	296	70473
AY184221	297	70713
AY184221	298	70732
AY184221	299	71955
AY184221	300	72141
AY184221	301	71679
AY184221	302	71896
AY184221	303	71761
AY184221	304	71825
AY184221	305	72921
AY184221	306	72838
AY184221	307	75118
AY184221	308	74511
AY184221	309	74605
AY184221	310	74637
AY184221	311	75190
AY184221	312	75456
AY184221	313	75440
AY184221	314	75167
AY184221	315	75050
AY184221	316	74266
AY184221	317	74444
AY184221	318	74608
AY184221	319	74855
AY184221	320	74457
AY184221	321	74475
AY184221	322	74656
AY184221	323	74664
AY184221	324	75069
AY184221	325	78122
AY184221	326	78706
AY184221	327	78631
AY184221	328	78648
AY184221	329	78752
AY184221	330	79133
AY184221	331	79219
AY184221	332	79252
AY184221	333	79347
AY184221	334	75281
AY184221	335	77483
AY184221	336	77660
AY184221	337	77915
AY184221	338	78276
AY184221	339	78431
AY184221	340	78834
AY184221	341	78975
AY184221	342	79144
AY184221	343	79014
AY184221	344	78347
AY184221	345	78252
AY184221	346	78174
AY184221	347	78190
AY184221	348	78078
AY184221	349	78303
AY184221	350	78095
AY184221	351	78388
AY184221	352	78930
AY184221	353	79688
AY184221	354	80254
AY184221	355	80098
AY184221	356	80088
AY184221	357	80027
AY184221	358	80106
AY184221	359	80662
AY184221	360	80963
AY184221	361	81011
AY184221	362	80080
AY184221	363	80310
AY184221	364	80343
AY184221	365	80399
AY184221	366	80528
AY184221	367	80333
AY184221	368	80443
AY184221	369	80511
AY184221	370	80815
AY184221	371	80820
AY184221	372	81157
AY184221	373	81259
AY184221	374	81327
AY184221	375	81458
AY184221	376	81559
AY184221	377	82216
AY184221	378	82192
AY184221	379	81896
AY184221	380	81949
AY184221	381	81431
AY184221	382	81523
AY184221	383	81961
AY184221	384	79987
AY184221	385	79742
AY184221	386	79256
AY184221	387	79050
AY184221	388	79317
AY184221	389	79251
AY184221	390	79529
AY184221	391	79508
AY184221	392	78949
AY184221	393	78770
AY184221	394	78762
AY184221	395	78765
AY184221	396	79162
AY184221	397	79246
AY184221	398	79293
AY184221	399	79238
AY184221	400	79199
AY184221	401	79363
AY184221	402	79320
AY184221	403	79543
AY184221	404	80932
AY184221	405	81031
AY184221	406	80194
AY184221	407	80574
AY184221	408	79885
AY184221	409	80143
AY184221	410	79964
AY184221	411	79750
AY184221	412	79817
AY184221	413	77384
AY184221	414	80832
AY184221	415	82094
AY184221	416	81897
AY184221	417	81448
AY184221	418	82065
AY184221	419	81208
AY184221	420	81306
AY184221	421	80842
AY184221	422	80772
AY184221	423	80979
AY184221	424	76690
AY184221	425	77091
AY184221	426	77019
AY184221	427	77015
AY184221	428	76891
