#chr	pos	coverage
MN450851	106	55
MN450851	107	5069
MN450851	108	5091
MN450851	109	5155
MN450851	110	5185
MN450851	111	5203
MN450851	112	5238
MN450851	113	5249
MN450851	114	5269
MN450851	115	5296
MN450851	116	5316
MN450851	117	5344
MN450851	118	5380
MN450851	119	5408
MN450851	120	5430
MN450851	121	5480
MN450851	122	5497
MN450851	123	5499
MN450851	124	5567
MN450851	125	5597
MN450851	126	5601
MN450851	127	5614
MN450851	128	5610
MN450851	129	5694
MN450851	130	5716
MN450851	131	5718
MN450851	132	5717
MN450851	133	5718
MN450851	134	5727
MN450851	135	5726
MN450851	136	5746
MN450851	137	5780
MN450851	138	5789
MN450851	139	5763
MN450851	140	5760
MN450851	141	5769
MN450851	142	5788
MN450851	143	5813
MN450851	144	5776
MN450851	145	5762
MN450851	146	5756
MN450851	147	5769
MN450851	148	5766
MN450851	149	5787
MN450851	150	5771
MN450851	151	5800
MN450851	152	5795
MN450851	153	5788
MN450851	154	5799
MN450851	155	5820
MN450851	156	5795
MN450851	157	5826
MN450851	158	5815
MN450851	159	5800
MN450851	160	5788
MN450851	161	5697
MN450851	162	5686
MN450851	163	5696
MN450851	164	5695
MN450851	165	5717
MN450851	166	5702
MN450851	167	5692
MN450851	168	5690
MN450851	169	5685
MN450851	170	5695
MN450851	171	5671
MN450851	172	5732
MN450851	173	5720
MN450851	174	5698
MN450851	175	5694
MN450851	176	5703
MN450851	177	5688
MN450851	178	5735
MN450851	179	5708
MN450851	180	5695
MN450851	181	5685
MN450851	182	5662
MN450851	183	5651
MN450851	184	5659
MN450851	185	5654
MN450851	186	5642
MN450851	187	5631
MN450851	188	5624
MN450851	189	5626
MN450851	190	5615
MN450851	191	5635
MN450851	192	5615
MN450851	193	5425
MN450851	194	5393
MN450851	195	5354
MN450851	196	5319
MN450851	197	5266
MN450851	198	5257
MN450851	199	5244
MN450851	200	5202
MN450851	201	5180
MN450851	202	5091
MN450851	203	5082
MN450851	204	5117
MN450851	205	5112
MN450851	206	5074
MN450851	207	5048
MN450851	208	5049
MN450851	209	5061
MN450851	210	5004
MN450851	211	4980
MN450851	212	5012
MN450851	213	4877
MN450851	214	4848
MN450851	215	4847
MN450851	216	4843
MN450851	217	4720
MN450851	218	4761
MN450851	219	4730
MN450851	220	4727
MN450851	221	4764
MN450851	222	4758
MN450851	223	4701
MN450851	224	4698
MN450851	225	4729
MN450851	226	4735
MN450851	227	4730
