#chr	pos	coverage
NC_038504	106	192
NC_038504	107	25965
NC_038504	108	26083
NC_038504	109	26385
NC_038504	110	26575
NC_038504	111	26669
NC_038504	112	26904
NC_038504	113	27001
NC_038504	114	27085
NC_038504	115	27293
NC_038504	116	27419
NC_038504	117	27553
NC_038504	118	27714
NC_038504	119	27800
NC_038504	120	27930
NC_038504	121	28119
NC_038504	122	28225
NC_038504	123	28299
NC_038504	124	28691
NC_038504	125	28854
NC_038504	126	28926
NC_038504	127	29024
NC_038504	128	29044
NC_038504	129	29344
NC_038504	130	29719
NC_038504	131	29799
NC_038504	132	30042
NC_038504	133	30195
NC_038504	134	30332
NC_038504	135	30364
NC_038504	136	30476
NC_038504	137	30560
NC_038504	138	30598
NC_038504	139	30642
NC_038504	140	30692
NC_038504	141	30821
NC_038504	142	30811
NC_038504	143	30934
NC_038504	144	30990
NC_038504	145	31068
NC_038504	146	31162
NC_038504	147	31193
NC_038504	148	31240
NC_038504	149	31311
NC_038504	150	31261
NC_038504	151	31403
NC_038504	152	31404
NC_038504	153	31317
NC_038504	154	31422
NC_038504	155	31485
NC_038504	156	31395
NC_038504	157	31621
NC_038504	158	31557
NC_038504	159	31540
NC_038504	160	31567
NC_038504	161	31341
NC_038504	162	31339
NC_038504	163	31383
NC_038504	164	31425
NC_038504	165	31543
NC_038504	166	31406
NC_038504	167	31562
NC_038504	168	31459
NC_038504	169	31454
NC_038504	170	31487
NC_038504	171	31427
NC_038504	172	31762
NC_038504	173	31752
NC_038504	174	31658
NC_038504	175	31660
NC_038504	176	31757
NC_038504	177	31777
NC_038504	178	32068
NC_038504	179	31534
NC_038504	180	31534
NC_038504	181	31494
NC_038504	182	31581
NC_038504	183	31515
NC_038504	184	31631
NC_038504	185	31759
NC_038504	186	31645
NC_038504	187	31483
NC_038504	188	31526
NC_038504	189	31625
NC_038504	190	31578
NC_038504	191	31839
NC_038504	192	31732
NC_038504	193	30627
NC_038504	194	30440
NC_038504	195	30399
NC_038504	196	30233
NC_038504	197	30040
NC_038504	198	29963
NC_038504	199	29972
NC_038504	200	29750
NC_038504	201	29699
NC_038504	202	29488
NC_038504	203	29280
NC_038504	204	29453
NC_038504	205	29425
NC_038504	206	29336
NC_038504	207	29250
NC_038504	208	29231
NC_038504	209	29243
NC_038504	210	29228
NC_038504	211	28843
NC_038504	212	28919
NC_038504	213	28391
NC_038504	214	28393
NC_038504	215	28233
NC_038504	216	28114
NC_038504	217	27483
NC_038504	218	27686
NC_038504	219	27586
NC_038504	220	27717
NC_038504	221	27508
NC_038504	222	27547
NC_038504	223	27338
NC_038504	224	27360
NC_038504	225	27481
NC_038504	226	27423
NC_038504	227	27411
NC_038504	228	27479
NC_038504	229	27481
NC_038504	230	27367
NC_038504	231	27311
NC_038504	232	27261
NC_038504	233	27353
NC_038504	234	27151
NC_038504	235	18998
NC_038504	236	18675
NC_038504	237	17626
NC_038504	238	17030
NC_038504	239	16766
NC_038504	240	16673
NC_038504	241	16801
NC_038504	242	16696
NC_038504	243	16745
NC_038504	244	16730
NC_038504	245	16517
NC_038504	246	16375
NC_038504	247	16481
NC_038504	248	16493
NC_038504	249	16481
NC_038504	250	16433
NC_038504	251	16419
NC_038504	252	16570
NC_038504	253	16500
NC_038504	254	16589
NC_038504	255	16626
NC_038504	256	16694
NC_038504	257	16481
NC_038504	258	16467
NC_038504	259	16354
NC_038504	260	16265
NC_038504	261	16233
NC_038504	262	16207
NC_038504	263	16205
NC_038504	264	16314
NC_038504	265	16439
NC_038504	266	16259
NC_038504	267	16265
NC_038504	268	16272
NC_038504	269	16317
NC_038504	270	16295
NC_038504	271	16294
NC_038504	272	16209
NC_038504	273	16121
NC_038504	274	16182
NC_038504	275	15918
NC_038504	276	15733
NC_038504	277	15653
NC_038504	278	15615
NC_038504	279	15760
NC_038504	280	15518
NC_038504	281	15294
NC_038504	282	15306
NC_038504	283	15247
NC_038504	284	15121
NC_038504	285	15193
