#chr	pos	coverage
AY184219	75	2
AY184219	76	2
AY184219	77	4
AY184219	78	86
AY184219	79	87
AY184219	80	107
AY184219	81	111
AY184219	82	124
AY184219	83	1330
AY184219	84	1383
AY184219	85	1512
AY184219	86	1669
AY184219	87	1682
AY184219	88	1769
AY184219	89	1782
AY184219	90	1820
AY184219	91	1940
AY184219	92	1942
AY184219	93	2167
AY184219	94	2237
AY184219	95	8213
AY184219	96	8251
AY184219	97	8975
AY184219	98	9293
AY184219	99	9533
AY184219	100	9539
AY184219	101	9560
AY184219	102	9724
AY184219	103	10052
AY184219	104	10482
AY184219	105	10624
AY184219	106	10638
AY184219	107	10718
AY184219	108	10725
AY184219	109	10762
AY184219	110	10870
AY184219	111	10911
AY184219	112	11149
AY184219	113	11654
AY184219	114	11692
AY184219	115	12014
AY184219	116	12019
AY184219	117	12394
AY184219	118	12426
AY184219	119	12750
AY184219	120	13063
AY184219	121	13083
AY184219	122	13193
AY184219	123	13240
AY184219	124	15768
AY184219	125	15869
AY184219	126	15877
AY184219	127	17907
AY184219	128	17926
AY184219	129	19348
AY184219	130	19411
AY184219	131	19502
AY184219	132	19689
AY184219	133	19869
AY184219	134	20143
AY184219	135	20181
AY184219	136	20436
AY184219	137	20802
AY184219	138	21253
AY184219	139	22897
AY184219	140	23000
AY184219	141	23044
AY184219	142	24023
AY184219	143	24124
AY184219	144	25659
AY184219	145	25873
AY184219	146	26460
AY184219	147	26676
AY184219	148	26699
AY184219	149	27263
AY184219	150	27387
AY184219	151	27436
AY184219	152	27562
AY184219	153	27655
AY184219	154	28196
AY184219	155	28569
AY184219	156	28616
AY184219	157	28601
AY184219	158	28766
AY184219	159	28883
AY184219	160	29418
AY184219	161	29459
AY184219	162	29534
AY184219	163	29616
AY184219	164	29656
AY184219	165	29952
AY184219	166	30128
AY184219	167	30133
AY184219	168	31082
AY184219	169	31113
AY184219	170	31368
AY184219	171	31819
AY184219	172	31835
AY184219	173	32006
AY184219	174	32103
AY184219	175	32234
AY184219	176	32376
AY184219	177	32503
AY184219	178	32545
AY184219	179	32606
AY184219	180	32761
AY184219	181	32812
AY184219	182	33499
AY184219	183	33619
AY184219	184	33745
AY184219	185	35404
AY184219	186	35468
AY184219	187	38500
AY184219	188	38610
AY184219	189	43350
AY184219	190	45963
AY184219	191	45957
AY184219	192	46236
AY184219	193	46293
AY184219	194	46232
AY184219	195	46555
AY184219	196	46559
AY184219	197	47228
AY184219	198	46940
AY184219	199	47211
AY184219	200	47280
AY184219	201	47332
AY184219	202	47473
AY184219	203	47646
AY184219	204	47803
AY184219	205	47864
AY184219	206	47876
AY184219	207	48058
AY184219	208	49754
AY184219	209	50019
AY184219	210	50041
AY184219	211	50119
AY184219	212	50143
AY184219	213	50204
AY184219	214	50248
AY184219	215	50297
AY184219	216	50536
AY184219	217	50512
AY184219	218	50920
AY184219	219	50973
AY184219	220	51002
AY184219	221	51367
AY184219	222	51476
AY184219	223	52175
AY184219	224	52415
AY184219	225	52471
AY184219	226	53130
AY184219	227	53363
AY184219	228	53391
AY184219	229	53509
AY184219	230	53474
AY184219	231	53747
AY184219	232	54006
AY184219	233	54256
AY184219	234	55981
AY184219	235	55899
AY184219	236	56366
AY184219	237	56536
AY184219	238	56551
AY184219	239	56658
AY184219	240	56712
AY184219	241	57066
AY184219	242	57203
AY184219	243	56913
AY184219	244	57237
AY184219	245	57265
AY184219	246	57508
AY184219	247	57631
AY184219	248	57693
AY184219	249	57778
AY184219	250	57882
AY184219	251	59286
AY184219	252	60200
AY184219	253	60238
AY184219	254	60587
AY184219	255	60557
AY184219	256	61109
AY184219	257	61203
AY184219	258	61319
AY184219	259	61362
AY184219	260	61241
AY184219	261	61386
AY184219	262	62002
AY184219	263	62069
AY184219	264	62168
AY184219	265	62144
AY184219	266	62203
AY184219	267	62302
AY184219	268	62327
AY184219	269	62447
AY184219	270	62581
AY184219	271	63048
AY184219	272	63069
AY184219	273	63240
AY184219	274	63301
AY184219	275	63307
AY184219	276	63662
AY184219	277	63878
AY184219	278	64237
AY184219	279	64284
AY184219	280	64438
AY184219	281	64544
AY184219	282	64560
AY184219	283	64780
AY184219	284	64817
AY184219	285	65094
AY184219	286	65213
AY184219	287	65164
AY184219	288	65436
AY184219	289	65569
AY184219	290	66190
AY184219	291	66744
AY184219	292	66782
AY184219	293	67176
AY184219	294	67081
AY184219	295	67562
AY184219	296	67597
AY184219	297	69198
AY184219	298	69525
AY184219	299	69647
AY184219	300	69836
AY184219	301	69846
AY184219	302	69768
AY184219	303	70382
AY184219	304	70801
AY184219	305	72431
AY184219	306	72019
AY184219	307	72065
AY184219	308	72170
AY184219	309	73607
AY184219	310	74202
AY184219	311	74500
