seq	cluster
HEV-3a_JQ679013.1	cluster0
HEV-3a_HQ389544.1	cluster0
HEV-3a_HQ709170.1	cluster0
HEV-3c_KC618402.1	cluster0
HEV-3c_KC618403.1	cluster0
HEV-3uc3_MW355383.1	cluster0
HEV-3a_KX981911.1	cluster0
HEV-3a_JN564006.1	cluster0
HEV-3a_KT727028.1	cluster0
HEV-3a_JQ679014.1	cluster0
HEV-3a_AF060669.1	cluster0
HEV-3a_MH450022.1	cluster0
HEV-3a_AB481228.1	cluster0
HEV-3k_AB740232.1	cluster0
HEV-3a_HQ389543.1	cluster0
HEV-3a_KX574712.1	cluster0
HEV-3a_AB089824.1	cluster0
HEV-3a_KT447526.1	cluster0
HEV-3a_KT447528.1	cluster0
HEV-3a_LC406617.1	cluster0
HEV-3a_LC406618.1	cluster0
HEV-3b_AB073912.1	cluster0
HEV-3a_AB074918.2	cluster0
HEV-3a_AB630970.1	cluster0
HEV-3b_FJ527832.2	cluster0
HEV-3b_OM780137.1	cluster0
HEV-3j_AY115488.1	cluster0
HEV-3a_MW355288.1	cluster0
HEV-3a_FJ426403.1	cluster0
HEV-3a_JN837481.1	cluster0
HEV-3a_MG833836.1	cluster0
HEV-3a_AB591734.1	cluster0
HEV-3b_AB189070.1	cluster0
HEV-3b_AB301710.1	cluster0
HEV-3b_AB362839.1	cluster0
HEV-3b_AB362840.1	cluster0
HEV-3b_AB362841.1	cluster0
HEV-3b_AB362842.1	cluster0
HEV-3b_AB362843.1	cluster0
HEV-3b_AB425830.1	cluster0
HEV-3b_AB425831.1	cluster0
HEV-3b_AB593690.1	cluster0
HEV-3b_KT633715.1	cluster0
HEV-3b_LC126331.1	cluster0
HEV-3b_LC126332.1	cluster0
HEV-3b_LC651410.1	cluster0
HEV-3a_KJ507955.1	cluster0
HEV-3b_LC406475.1	cluster0
HEV-3b_LC406611.1	cluster0
HEV-3uc5_LC260517.1	cluster0
HEV-3b_AB222183.1	cluster0
HEV-3a_AB074920.3	cluster0
HEV-3a_LC406493.1	cluster0
HEV-3b_AB222182.1	cluster0
HEV-3b_AB222184.1	cluster0
HEV-3h1_MN714358.1	cluster0
HEV-3a_FJ426404.1	cluster0
HEV-3a_MN614429.1	cluster0
HEV-3a_MN614430.1	cluster0
HEV-3b_AB481229.1	cluster0
HEV-3b_LC439299.1	cluster0
HEV-3b_LC490579.1	cluster0
HEV-3a_LC406607.1	cluster0
HEV-3b_AB630971.1	cluster0
HEV-3k_LC131066.1	cluster0
HEV-3a_LC406534.1	cluster0
HEV-3a_LC406581.1	cluster0
HEV-3a_LC406612.1	cluster0
HEV-3b_MW355222.1	cluster0
HEV-3a_LC406619.1	cluster0
HEV-3a_LC406620.1	cluster0
HEV-3a_LC406621.1	cluster0
HEV-3a_LC406622.1	cluster0
HEV-3a_LC406623.1	cluster0
HEV-3a_LC406624.1	cluster0
HEV-3a_LC406625.1	cluster0
HEV-3a_LC406651.1	cluster0
HEV-3b_AB236320.1	cluster0
HEV-3b_AB291960.1	cluster0
HEV-3b_AB291962.1	cluster0
HEV-3b_AB291963.1	cluster0
HEV-3b_AB591733.1	cluster0
HEV-3k_LC176492.1	cluster0
HEV-3k_LC176493.1	cluster0
HEV-3a_LC406571.1	cluster0
HEV-3b_AB246676.1	cluster0
HEV-3b_AB189071.1	cluster0
HEV-3b_AP003430.1	cluster0
HEV-3b_LC386855.1	cluster0
HEV-3k_LC406583.1	cluster0
HEV-3b_AB698071.1	cluster0
HEV-3b_LC406509.1	cluster0
HEV-3b_KJ507956.1	cluster0
HEV-3b_LC406606.1	cluster0
HEV-3b_LC406632.1	cluster0
HEV-3b_LC406650.1	cluster0
HEV-3b_LC406518.1	cluster0
