#chr	pos	coverage
NC_001607	61	2
NC_001607	62	914
NC_001607	63	914
NC_001607	64	918
NC_001607	65	923
NC_001607	66	926
NC_001607	67	935
NC_001607	68	936
NC_001607	69	938
NC_001607	70	945
NC_001607	71	954
NC_001607	72	965
NC_001607	73	966
NC_001607	74	972
NC_001607	75	983
NC_001607	76	991
NC_001607	77	994
NC_001607	78	1000
NC_001607	79	1004
NC_001607	80	1007
NC_001607	81	1013
NC_001607	82	1014
NC_001607	83	1019
NC_001607	84	1021
NC_001607	85	1023
NC_001607	86	1028
NC_001607	87	1031
NC_001607	88	1036
NC_001607	89	1040
NC_001607	90	1039
NC_001607	91	1040
NC_001607	92	1041
NC_001607	93	1058
NC_001607	94	1061
NC_001607	95	1053
NC_001607	96	1060
NC_001607	97	1059
NC_001607	98	1065
NC_001607	99	1064
NC_001607	100	1060
NC_001607	101	1063
NC_001607	102	1064
NC_001607	103	1064
NC_001607	104	1075
NC_001607	105	1080
NC_001607	106	1071
NC_001607	107	1071
NC_001607	108	1075
NC_001607	109	1077
NC_001607	110	1087
NC_001607	111	1092
NC_001607	112	1096
NC_001607	113	1102
NC_001607	114	1085
NC_001607	115	1083
NC_001607	116	1082
NC_001607	117	1091
NC_001607	118	1082
NC_001607	119	1079
NC_001607	120	1085
NC_001607	121	1093
NC_001607	122	1094
NC_001607	123	1094
NC_001607	124	1091
NC_001607	125	1096
NC_001607	126	1101
NC_001607	127	1118
NC_001607	128	1136
NC_001607	129	1226
NC_001607	130	1226
NC_001607	131	1235
NC_001607	132	1242
NC_001607	133	1247
NC_001607	134	1250
NC_001607	135	1253
NC_001607	136	1249
NC_001607	137	1254
NC_001607	138	1247
NC_001607	139	1247
NC_001607	140	1252
NC_001607	141	1251
NC_001607	142	1265
NC_001607	143	1261
NC_001607	144	1252
NC_001607	145	1250
NC_001607	146	1248
NC_001607	147	1249
NC_001607	148	1256
NC_001607	149	1260
NC_001607	150	1260
NC_001607	151	1228
NC_001607	152	1224
NC_001607	153	1228
NC_001607	154	1220
NC_001607	155	1221
NC_001607	156	1218
NC_001607	157	1193
NC_001607	158	1191
NC_001607	159	1192
NC_001607	160	1164
NC_001607	161	1160
NC_001607	162	1135
NC_001607	163	1139
NC_001607	164	1136
NC_001607	165	1144
NC_001607	166	1141
NC_001607	167	1140
NC_001607	168	1136
NC_001607	169	1138
NC_001607	170	1136
NC_001607	171	1124
NC_001607	172	1121
NC_001607	173	1122
NC_001607	174	1119
NC_001607	175	1119
NC_001607	176	1120
NC_001607	177	1125
NC_001607	178	1119
NC_001607	179	1135
NC_001607	180	1120
NC_001607	181	1106
NC_001607	182	1102
NC_001607	183	1091
NC_001607	184	1098
NC_001607	185	1100
NC_001607	186	1093
NC_001607	187	1090
NC_001607	188	1075
NC_001607	189	1075
NC_001607	190	1079
NC_001607	191	1070
NC_001607	192	816
NC_001607	193	807
NC_001607	194	781
NC_001607	195	778
NC_001607	196	769
NC_001607	197	773
NC_001607	198	769
NC_001607	199	771
NC_001607	200	773
NC_001607	201	780
NC_001607	202	779
NC_001607	203	784
NC_001607	204	773
NC_001607	205	769
NC_001607	206	770
NC_001607	207	772
NC_001607	208	767
NC_001607	209	768
NC_001607	210	763
NC_001607	211	762
NC_001607	212	759
NC_001607	213	753
NC_001607	214	752
NC_001607	215	747
NC_001607	216	747
NC_001607	217	744
NC_001607	218	752
NC_001607	219	752
NC_001607	220	752
NC_001607	221	749
NC_001607	222	739
NC_001607	223	732
NC_001607	224	735
NC_001607	225	743
NC_001607	226	721
NC_001607	227	710
NC_001607	228	706
NC_001607	229	710
NC_001607	230	718
NC_001607	231	716
NC_001607	232	711
NC_001607	233	707
NC_001607	234	699
NC_001607	235	700
NC_001607	236	697
NC_001607	237	697
NC_001607	238	678
NC_001607	239	677
NC_001607	240	669
NC_001607	241	666
NC_001607	242	674
NC_001607	243	669
NC_001607	244	664
NC_001607	245	661
NC_001607	246	664
NC_001607	247	658
NC_001607	248	661
NC_001607	249	657
NC_001607	250	654
NC_001607	251	655
NC_001607	252	632
NC_001607	253	632
NC_001607	254	636
NC_001607	255	628
NC_001607	256	629
NC_001607	257	625
NC_001607	258	624
NC_001607	259	619
NC_001607	260	615
NC_001607	261	329
NC_001607	262	333
NC_001607	263	330
NC_001607	264	322
NC_001607	265	323
NC_001607	266	320
NC_001607	267	317
NC_001607	268	304
NC_001607	269	308
NC_001607	270	305
NC_001607	271	306
NC_001607	272	301
NC_001607	273	305
NC_001607	274	310
NC_001607	275	314
NC_001607	276	315
NC_001607	277	316
NC_001607	278	314
NC_001607	279	323
NC_001607	280	320
NC_001607	281	316
NC_001607	282	316
NC_001607	283	316
NC_001607	284	325
NC_001607	285	325
NC_001607	286	323
NC_001607	287	321
NC_001607	288	324
NC_001607	289	319
NC_001607	290	322
NC_001607	291	324
NC_001607	292	322
NC_001607	293	318
NC_001607	294	319
NC_001607	295	319
NC_001607	296	320
NC_001607	297	321
NC_001607	298	322
NC_001607	299	321
NC_001607	300	327
NC_001607	301	325
NC_001607	302	324
