#chr	pos	coverage
NC_001489	291	1
NC_001489	292	55
NC_001489	293	18779
NC_001489	294	18934
NC_001489	295	19209
NC_001489	296	19339
NC_001489	297	19397
NC_001489	298	19459
NC_001489	299	19641
NC_001489	300	19752
NC_001489	301	19873
NC_001489	302	19977
NC_001489	303	20435
NC_001489	304	20489
NC_001489	305	20561
NC_001489	306	20698
NC_001489	307	20831
NC_001489	308	20901
NC_001489	309	21633
NC_001489	310	21718
NC_001489	311	22112
NC_001489	312	22140
NC_001489	313	22291
NC_001489	314	22403
NC_001489	315	22548
NC_001489	316	22578
NC_001489	317	22592
NC_001489	318	22619
NC_001489	319	22817
NC_001489	320	22857
NC_001489	321	22951
NC_001489	322	23021
NC_001489	323	23132
NC_001489	324	23315
NC_001489	325	23365
NC_001489	326	23455
NC_001489	327	23571
NC_001489	328	23534
NC_001489	329	23582
NC_001489	330	23967
NC_001489	331	23936
NC_001489	332	23961
NC_001489	333	24008
NC_001489	334	24024
NC_001489	335	23933
NC_001489	336	23765
NC_001489	337	23782
NC_001489	338	23863
NC_001489	339	23919
NC_001489	340	23964
NC_001489	341	24071
NC_001489	342	24171
NC_001489	343	24387
NC_001489	344	24447
NC_001489	345	24350
NC_001489	346	24336
NC_001489	347	24371
NC_001489	348	24417
NC_001489	349	24487
NC_001489	350	25123
NC_001489	351	24788
NC_001489	352	25104
NC_001489	353	25101
NC_001489	354	25095
NC_001489	355	24974
NC_001489	356	24749
NC_001489	357	25052
NC_001489	358	24883
NC_001489	359	24741
NC_001489	360	24834
NC_001489	361	24833
NC_001489	362	25020
NC_001489	363	25074
NC_001489	364	25265
NC_001489	365	25254
NC_001489	366	25288
NC_001489	367	25352
NC_001489	368	25334
NC_001489	369	24971
NC_001489	370	24936
NC_001489	371	25164
NC_001489	372	25071
NC_001489	373	24929
NC_001489	374	24854
NC_001489	375	25203
NC_001489	376	25206
NC_001489	377	25241
NC_001489	378	25128
NC_001489	379	25041
NC_001489	380	24964
NC_001489	381	24931
NC_001489	382	25058
NC_001489	383	24852
NC_001489	384	24861
NC_001489	385	24943
NC_001489	386	24876
NC_001489	387	24846
NC_001489	388	24950
NC_001489	389	24760
NC_001489	390	24800
NC_001489	391	24854
NC_001489	392	24494
NC_001489	393	24460
NC_001489	394	24596
NC_001489	395	24466
NC_001489	396	24513
NC_001489	397	24744
NC_001489	398	24480
NC_001489	399	24413
NC_001489	400	24207
NC_001489	401	24246
NC_001489	402	24397
NC_001489	403	24251
NC_001489	404	24348
NC_001489	405	24664
NC_001489	406	24458
NC_001489	407	24611
NC_001489	408	24582
NC_001489	409	24653
NC_001489	410	24699
NC_001489	411	24753
NC_001489	412	24511
NC_001489	413	24214
NC_001489	414	24448
NC_001489	415	24446
NC_001489	416	24384
NC_001489	417	24270
NC_001489	418	24313
NC_001489	419	24033
NC_001489	420	24005
NC_001489	421	23953
NC_001489	422	18596
NC_001489	423	18738
NC_001489	424	18704
NC_001489	425	18476
NC_001489	426	18798
NC_001489	427	18616
NC_001489	428	18540
NC_001489	429	18672
NC_001489	430	18566
NC_001489	431	18673
NC_001489	432	18593
NC_001489	433	18474
NC_001489	434	18287
NC_001489	435	18318
NC_001489	436	18416
NC_001489	437	17999
NC_001489	438	18126
NC_001489	439	18116
NC_001489	440	18024
NC_001489	441	17807
NC_001489	442	17913
NC_001489	443	17841
NC_001489	444	17863
NC_001489	445	17860
NC_001489	446	17820
NC_001489	447	17812
NC_001489	448	17815
NC_001489	449	17878
NC_001489	450	17456
NC_001489	451	17477
NC_001489	452	17377
NC_001489	453	17470
NC_001489	454	17313
NC_001489	455	17462
NC_001489	456	17607
NC_001489	457	17671
NC_001489	458	17406
NC_001489	459	17191
NC_001489	460	17005
NC_001489	461	17012
NC_001489	462	17010
NC_001489	463	17046
NC_001489	464	17111
NC_001489	465	16929
NC_001489	466	17054
NC_001489	467	17139
NC_001489	468	17186
NC_001489	469	17237
NC_001489	470	16892
NC_001489	471	16970
NC_001489	472	17174
NC_001489	473	17141
NC_001489	474	17077
NC_001489	475	16971
NC_001489	476	17409
NC_001489	477	17318
NC_001489	478	17310
NC_001489	479	17661
NC_001489	480	17635
NC_001489	481	17601
NC_001489	482	17657
NC_001489	483	17743
NC_001489	484	17854
NC_001489	485	17624
NC_001489	486	17674
NC_001489	487	17461
NC_001489	488	17548
NC_001489	489	17620
NC_001489	490	17550
NC_001489	491	17472
NC_001489	492	17445
NC_001489	493	17196
NC_001489	494	17360
NC_001489	495	17444
NC_001489	496	17275
NC_001489	497	17232
NC_001489	498	17322
NC_001489	499	17264
NC_001489	500	17241
NC_001489	501	16699
NC_001489	502	16668
NC_001489	503	16571
NC_001489	504	16606
NC_001489	505	16424
NC_001489	506	16381
NC_001489	507	16455
NC_001489	508	16369
NC_001489	509	16312
NC_001489	510	16552
NC_001489	511	16354
NC_001489	512	16351
NC_001489	513	16266
NC_001489	514	16543
NC_001489	515	16195
NC_001489	516	16318
NC_001489	517	16284
NC_001489	518	16303
NC_001489	519	16479
NC_001489	520	16439
NC_001489	521	16403
NC_001489	522	16283
NC_001489	523	16352
NC_001489	524	16529
NC_001489	525	16389
NC_001489	526	16225
NC_001489	527	16236
NC_001489	528	16271
NC_001489	529	16231
NC_001489	530	15991
NC_001489	531	15955
NC_001489	532	16362
NC_001489	533	16368
NC_001489	534	16297
NC_001489	535	16237
NC_001489	536	16283
NC_001489	537	16479
NC_001489	538	16388
NC_001489	539	16334
NC_001489	540	16382
NC_001489	541	16504
NC_001489	542	16541
NC_001489	543	16439
NC_001489	544	16451
NC_001489	545	16383
NC_001489	546	16612
NC_001489	547	16487
NC_001489	548	16626
NC_001489	549	16541
NC_001489	550	16605
NC_001489	551	16656
NC_001489	552	16684
NC_001489	553	16501
NC_001489	554	16475
NC_001489	555	16449
NC_001489	556	16365
NC_001489	557	16674
NC_001489	558	16570
NC_001489	559	16793
NC_001489	560	16692
NC_001489	561	16703
NC_001489	562	16656
NC_001489	563	16647
NC_001489	564	16756
NC_001489	565	16595
NC_001489	566	16614
NC_001489	567	16641
NC_001489	568	16697
NC_001489	569	16631
NC_001489	570	16886
NC_001489	571	16916
NC_001489	572	16533
NC_001489	573	16433
NC_001489	574	16376
NC_001489	575	16357
NC_001489	576	16337
NC_001489	577	15955
NC_001489	578	16103
NC_001489	579	16094
NC_001489	580	15986
NC_001489	581	16153
NC_001489	582	16076
NC_001489	583	16227
NC_001489	584	16164
NC_001489	585	16252
NC_001489	586	16158
NC_001489	587	16143
NC_001489	588	16232
NC_001489	589	16141
NC_001489	590	16139
NC_001489	591	16125
NC_001489	592	16264
NC_001489	593	16146
NC_001489	594	15816
NC_001489	595	15761
NC_001489	596	15900
NC_001489	597	15977
NC_001489	598	16027
NC_001489	599	16165
NC_001489	600	16013
NC_001489	601	15939
NC_001489	602	15972
NC_001489	603	16085
NC_001489	604	16063
NC_001489	605	15961
NC_001489	606	15811
NC_001489	607	15672
NC_001489	608	15683
NC_001489	609	15981
NC_001489	610	16261
NC_001489	611	16232
NC_001489	612	16197
NC_001489	613	16244
NC_001489	614	16317
NC_001489	615	16370
NC_001489	616	16350
NC_001489	617	15922
NC_001489	618	15871
NC_001489	619	15661
NC_001489	620	15651
NC_001489	621	15634
NC_001489	622	15318
NC_001489	623	15302
NC_001489	624	15263
NC_001489	625	15459
NC_001489	626	15424
NC_001489	627	15257
NC_001489	628	15246
NC_001489	629	15215
NC_001489	630	14902
NC_001489	631	14970
NC_001489	632	14831
NC_001489	633	14668
NC_001489	634	14641
NC_001489	635	14647
NC_001489	636	14683
NC_001489	637	14614
NC_001489	638	14710
NC_001489	639	14854
NC_001489	640	14642
NC_001489	641	14683
NC_001489	642	14742
NC_001489	643	14958
NC_001489	644	14887
NC_001489	645	14554
NC_001489	646	14517
NC_001489	647	14489
NC_001489	648	14645
NC_001489	649	14343
NC_001489	650	14371
NC_001489	651	14471
