#chr	pos	coverage
NC_038504	106	396
NC_038504	107	55910
NC_038504	108	56192
NC_038504	109	56729
NC_038504	110	57150
NC_038504	111	57373
NC_038504	112	57894
NC_038504	113	58110
NC_038504	114	58281
NC_038504	115	58704
NC_038504	116	58964
NC_038504	117	59214
NC_038504	118	59508
NC_038504	119	59737
NC_038504	120	59989
NC_038504	121	60321
NC_038504	122	60553
NC_038504	123	60714
NC_038504	124	61343
NC_038504	125	61707
NC_038504	126	61983
NC_038504	127	62137
NC_038504	128	62158
NC_038504	129	62726
NC_038504	130	63451
NC_038504	131	63665
NC_038504	132	64058
NC_038504	133	64380
NC_038504	134	64550
NC_038504	135	64623
NC_038504	136	64878
NC_038504	137	65033
NC_038504	138	65107
NC_038504	139	65187
NC_038504	140	65305
NC_038504	141	65533
NC_038504	142	65516
NC_038504	143	65813
NC_038504	144	65982
NC_038504	145	66145
NC_038504	146	66328
NC_038504	147	66450
NC_038504	148	66548
NC_038504	149	66712
NC_038504	150	66683
NC_038504	151	66944
NC_038504	152	67004
NC_038504	153	66802
NC_038504	154	67017
NC_038504	155	67117
NC_038504	156	66965
NC_038504	157	67426
NC_038504	158	67433
NC_038504	159	67423
NC_038504	160	67505
NC_038504	161	66991
NC_038504	162	67102
NC_038504	163	67121
NC_038504	164	67108
NC_038504	165	67291
NC_038504	166	67058
NC_038504	167	67330
NC_038504	168	67135
NC_038504	169	67124
NC_038504	170	67211
NC_038504	171	67074
NC_038504	172	67671
NC_038504	173	67673
NC_038504	174	67380
NC_038504	175	67444
NC_038504	176	67665
NC_038504	177	67668
NC_038504	178	68102
NC_038504	179	67929
NC_038504	180	67942
NC_038504	181	67846
NC_038504	182	68008
NC_038504	183	67771
NC_038504	184	68002
NC_038504	185	68201
NC_038504	186	67808
NC_038504	187	67484
NC_038504	188	67555
NC_038504	189	67683
NC_038504	190	67666
NC_038504	191	68121
NC_038504	192	67880
NC_038504	193	66018
NC_038504	194	65745
NC_038504	195	65742
NC_038504	196	65460
NC_038504	197	65068
NC_038504	198	65831
NC_038504	199	65705
NC_038504	200	65187
NC_038504	201	65087
NC_038504	202	64629
NC_038504	203	64137
NC_038504	204	64472
NC_038504	205	64423
NC_038504	206	64227
NC_038504	207	64086
NC_038504	208	64085
NC_038504	209	64093
NC_038504	210	64041
NC_038504	211	63216
NC_038504	212	63321
NC_038504	213	62133
NC_038504	214	62039
NC_038504	215	61700
NC_038504	216	61476
